review,effective_date,added,removed
2017-06,2017-06-19,"BAVA|SYDB","NKT|TOP"
2017-ORSTED-RENAME,2017-10-31,"ORSTED","DENERG"
2017-12,2017-12-18,"NKT","SYDB"
2018-NETS-DELIST,2018-02-13,"","NETS"
2018-TDC-DELIST,2018-06-05,"","TDC"
2018-06,2018-06-18,"AMBU B|RBREW|SIM","NKT"
2018-NORDEA-RENAME,2018-10-01,"NDA DK","NDA DKK"
2018-12,2018-12-27,"ROCK B|SYDB","NDA DK|BAVA"
2019-DEMANT-RENAME,2019-03-21,"DEMANT","WDH"
2019-06,2019-06-24,"DRLCO","SYDB"
2019-GENMAB-RENAME,2019-07-23,"GMAB","GEN"
2019-12,2019-12-23,"TOP","DRLCO"
2020-06,2020-06-22,"BAVA","TOP"
2020-12,2020-12-21,"NETC","JYSK"
2021-06,2021-06-21,"",""
2021-12,2021-12-20,"JYSK","SIM"
2022-LUNDBECK-SPLIT,2022-06-10,"HLUN A|HLUN B","LUN"
2022-06,2022-06-20,"NDA DK","HLUN A|HLUN B"
2022-12,2022-12-19,"",""
2023-06,2023-06-19,"",""
2023-12,2023-12-18,"NKT|ZEAL","FLS|NETC"
2024-CHR-MERGER,2024-01-31,"","CHR"
2024-NOVONESIS-RENAME,2024-03-06,"NSIS B","NZYM B"
2024-06,2024-06-24,"TRMD A",""
2024-12,2024-12-23,"SYDB","TRMD A"
2025-06,2025-06-23,"",""
2025-ALSYDB-RENAME,2025-12-10,"ALSYDB","SYDB"
2025-12,2025-12-22,"FLS","NDA DK"
2026-06,2026-06-22,"NDA DK","BAVA"
