ticker,company,current_c25,shares,market_cap,raw_market_cap_rank,fff_status,ownership_checked,treasury_checked,calculation_ready
NOVO B,Novo Nordisk B,True,3390128000,1013309259200.0,1,NOT_RESEARCHED,False,False,False
NDA DK,Nordea Bank Abp,True,3402799099,455634799356.0,2,NOT_RESEARCHED,False,False,False
DSV,DSV A/S,True,240444523,317747437145.0,3,NOT_RESEARCHED,False,False,False
DANSKE,Danske Bank,True,815815502,305441323949.0,4,NOT_RESEARCHED,False,False,False
VWS,Vestas Wind Systems,True,995561460,212353259418.0,5,NOT_RESEARCHED,False,False,False
MAERSK A,A.P. Moller - Maersk A,True,9586488,207451600320.0,6,NOT_RESEARCHED,False,False,False
SAMPO DKK,Sampo Plc A,False,2654674826,192145363906.0,7,NOT_RESEARCHED,False,False,False
ORSTED,Orsted A/S,True,1321197680,181136201928.0,8,NOT_RESEARCHED,False,False,False
NSIS B,Novonesis (Novozymes) A/S B,True,414555046,180994733084.0,9,NOT_RESEARCHED,False,False,False
GMAB,Genmab A/S,True,62377844,135048032260.0,10,NOT_RESEARCHED,False,False,False
MAERSK B,A.P. Moller - Maersk B,True,5109340,115522177400.0,11,NOT_RESEARCHED,False,False,False
COLO B,Coloplast B,True,210200000,95577940000.0,12,NOT_RESEARCHED,False,False,False
TRYG,Tryg,True,600286330,93764724746.0,13,NOT_RESEARCHED,False,False,False
CARL B,Carlsberg A/S B,True,98957554,86607651261.0,14,NOT_RESEARCHED,False,False,False
JYSK,Jyske Bank A/S,True,58197449,64424576043.0,15,NOT_RESEARCHED,False,False,False
PNDORA,Pandora,True,75000000,63495000000.0,16,NOT_RESEARCHED,False,False,False
DEMANT,Demant A/S,True,211753291,61789610314.0,17,NOT_RESEARCHED,False,False,False
ALSYDB,AL Sydbank A/S,True,85788416,58979536000.0,18,NOT_RESEARCHED,False,False,False
NKT,NKT A/S,True,53720045,50228242075.0,19,NOT_RESEARCHED,False,False,False
ISS,ISS,True,160000000,44896000000.0,20,NOT_RESEARCHED,False,False,False
RILBA,Ringkjobing Landbobank,False,24283550,44487463600.0,21,NOT_RESEARCHED,False,False,False
ALK B,ALK-Abello B,False,202567200,42296031360.0,22,NOT_RESEARCHED,False,False,False
CARL A,Carlsberg A/S A,False,33699252,35552710860.0,23,NOT_RESEARCHED,False,False,False
HLUN B,H. LUNDBECK A/S B,False,796592888,35145678219.0,24,NOT_RESEARCHED,False,False,False
FLS,FLSmidth & Co.,True,57650000,33091100000.0,25,NOT_RESEARCHED,False,False,False
ALMB,Alm. Brand,False,1405000000,24376750000.0,26,NOT_RESEARCHED,False,False,False
TRMD A,TORM plc A,False,102367118,23380649751.0,27,NOT_RESEARCHED,False,False,False
ROCK B,Rockwool A/S ser. B,True,109613323,22383040557.0,28,NOT_RESEARCHED,False,False,False
ZEAL,Zealand Pharma,True,71578758,21860152693.0,29,NOT_RESEARCHED,False,False,False
ROCK A,Rockwool A/S ser. A,False,97645907,20896224098.0,30,NOT_RESEARCHED,False,False,False
RBREW,Royal UNIBREW,True,49300000,20666560000.0,31,NOT_RESEARCHED,False,False,False
SCHO,Schouw & Co.,False,25000000,19600000000.0,32,NOT_RESEARCHED,False,False,False
BAVA,Bavarian Nordic,False,79236728,17083438557.0,33,PARTIAL,True,True,False
AMBU B,Ambu B,True,234974389,15990007171.0,34,NOT_RESEARCHED,False,False,False
NETC,Netcompany Group A/S,False,46000000,15005200000.0,35,NOT_RESEARCHED,False,False,False
GN,GN Store Nord,True,150912715,14508748420.0,36,NOT_RESEARCHED,False,False,False
PAAL B,Per Aarsleff Holding A/S B,False,18225000,13140225000.0,37,NOT_RESEARCHED,False,False,False
BIOMAR,BioMar Group A/S,False,100463000,12758801000.0,38,NOT_RESEARCHED,False,False,False
UIE,UIE Plc,False,31285000,12498357500.0,39,NOT_RESEARCHED,False,False,False
EMBLA,Embla Medical hf,False,428000000,12305000000.0,40,NOT_RESEARCHED,False,False,False
