ticker,company,current_c25,tier,nasdaq_symbol,nasdaq_id,isin
3NOV25,Investeringsselskabet af 3. no,0,1,3nov25,TX2213,DK0010231877
AAB,AaB,0,1,aab,TX2250,DK0060868966
AGAT,Agat Ejendomme A/S,0,1,agat,TX2361,DK0010258995
AGF B,AGF A/S B,0,1,agf b,TX2306,DK0010263722
ALK B,ALK-Abello B,0,1,alk b,TX144880,DK0061802139
ALMB,Alm. Brand,0,1,almb,TX2270,DK0015250344
ALSYDB,AL Sydbank A/S,1,0,alsydb,TX2288,DK0010311471
AMBU B,Ambu B,1,0,ambu b,TX2263,DK0060946788
AOJ B,Brdr. A & O Johansen A/S B,0,1,aoj b,TX2322,DK0061686714
ATLA DKK,Atlantic Petroleum P/F,0,1,atla dkk,TX216990,FO000A0DN9X4
BAVA,Bavarian Nordic,0,1,bava,TX2265,DK0015998017
BETCO DKK,Better Collective A/S,0,1,betco dkk,TX5068112,DK0060952240
BIF,Brondby IF,0,1,bif,TX2311,DK0010247956
BIOMAR,BioMar Group A/S,0,1,biomar,TX7227036,DK0064867972
BIOPOR,BioPorto,0,1,biopor,TX2332,DK0011048619
BO,Bang & Olufsen,0,1,bo,TX2197,DK0010218429
BOOZT DKK,Boozt AB,0,1,boozt dkk,TX3639522,SE0009888738
CARL A,Carlsberg A/S A,0,1,carl a,TX2183,DK0010181676
CARL B,Carlsberg A/S B,1,0,carl b,TX2184,DK0010181759
CBRAIN,cBrain A/S,0,1,cbrain,TX159388,DK0060030286
CEMAT,Cemat A/S,0,1,cemat,TX2362,DK0010271584
CHEMM,ChemoMetec,0,1,chemm,TX236658,DK0060055861
COLO B,Coloplast B,1,0,colo b,TX2198,DK0060448595
COLUM,Columbus A/S,0,1,colum,TX2210,DK0010268366
CPHCAP ST,Copenhagen Capital A/S Stam,0,1,cphcap st,TX331348,DK0060093607
DAB,Danske Andelskassers Bank,0,1,dab,TX918920,DK0060299063
DANSKE,Danske Bank,1,0,danske,TX2179,DK0010274414
DANT,Dantax,0,1,dant,TX2317,DK0015205637
